ID,catboost_pred
A1,0.011980924226068798
A3,0.005075392069337048
A4,0.024823736407366764
A6,0.049200205193720335
A7,0.016967766889064734
A8,0.016666871202425184
A9,0.010201707230998024
A11,0.010530927371869997
A12,0.006337371610847398
A14,0.011296602555525736
A17,0.12293416503546806
A18,0.01786892534684658
A20,0.011228273469086229
A21,0.017121176242606128
A22,0.009252210282016693
A23,0.020171156593887105
A24,0.02453333898438112
A25,0.012879158766821072
A26,0.008598665772330078
A27,0.006276690897092625
A28,0.012507089823717557
A29,0.026992186652905797
A33,0.04225581547586831
A36,0.002334223167025748
A38,0.021492627089951876
A41,0.0025092183637490614
A42,0.011007806894830505
A44,0.09831231678412662
A47,0.02073787530177246
A48,0.013530869058917535
A49,0.00264744323528974
A51,0.0026669242031001276
A52,0.00272264800318066
A53,0.11109748042971797
A54,0.018209818778555875
A55,0.022276142490323298
A56,0.014487828362487987
A57,0.002224770214343223
A58,0.02707394640624416
A59,0.021023083418690643
A60,0.004250977696019413
A61,0.012118207935614017
A62,0.003293957447485373
A63,0.00937615804541564
A64,0.002964773916583003
A65,0.01036630646999661
A68,0.014165282748743872
A69,0.005431062304969849
A70,0.00549073713067362
A71,0.025260623395594234
A72,0.0108484772502726
A74,0.020303682362601654
A75,0.006097240643484005
A76,0.007266461333952617
A77,0.0308130360387891
A78,0.00433337923837897
A79,0.019289808683894894
A80,0.12690456453702212
A81,0.03243346249750942
A82,0.010904749870663252
A83,0.007863672976581864
A84,0.052177382717066005
A85,0.047656478587046934
A86,0.01970471910159911
A87,0.008855696624860285
A89,0.002181462034633449
A90,0.1295170934197083
A91,0.05214936422750937
A92,0.015352412717766927
A93,0.006937252684058015
A94,0.017038824203250466
A95,0.010874207795294036
A98,0.9173798107791271
A100,0.021306790995710673
A101,0.015499681215784347
A102,0.018553560561222725
A103,0.007322990489861097
A104,0.005302456171117125
A106,0.0063008222112805766
A107,0.013172996437312921
A108,0.03504039913842332
A109,0.01628049423004036
A110,0.009861935767509324
A111,0.018337069879364076
A112,0.008552276032225876
A113,0.005136814480668284
A115,0.0063113125816819104
A116,0.017695391405549033
A117,0.00926483426638547
A119,0.011786648593228808
A120,0.4863022972210482
A121,0.00238883055704121
A122,0.025091859423459616
A123,0.007565362211294548
A124,0.009680983254385475
A127,0.004701166085302197
A128,0.00335210014170726
A129,0.0049242805317103525
A130,0.00775512187305375
A132,0.025086735444482262
A133,0.005180053421668696
A134,0.5526613739330452
A137,0.012599536815783829
A140,0.009725122825954733
A142,0.01232183998558614
A146,0.0025644717791720286
