ID,Pred
A2,0.010951339233678513
A5,0.00948884403888994
A10,0.03521436691321361
A13,0.0645582091349898
A15,0.031446111173205074
A16,0.8872512721790491
A19,0.04309264236010306
A30,0.006136016578485049
A31,0.013070006634018309
A32,0.004978616766218435
A34,0.07154253126158333
A35,0.006690153976688791
A37,0.002302318157973965
A39,0.015300337071815842
A40,0.32146833894266813
A43,0.07935753841551747
A45,0.02811523094542266
A46,0.008118692998761399
A50,0.18168582389298762
A66,0.008980245450104922
A67,0.16859529568885923
A73,0.0015022267756500138
A88,0.017220062870790132
A96,0.011927220944818902
A97,0.0048745016208028335
A99,0.1049787368160585
A105,0.004577590579053938
A114,0.03504562023287344
A118,0.004493800190119059
A125,0.005244992960510947
A126,0.6263882657487951
A131,0.0012287407256662106
A135,0.007014305092939049
A136,0.003990453338357518
A138,0.005215161702943233
A139,0.02670102565431667
A141,0.0023174943945706663
A143,0.04047253394699234
A144,0.007036029093855257
A145,0.02711040917085586
A149,0.009446372721455803
A153,0.013990781824818051
A155,0.00661143107765227
A158,0.005939356529302695
A159,0.00437896487739079
A160,0.008989983016037952
A163,0.8254404315818717
A171,0.01699829287559006
A174,0.016760218666984267
A189,0.024512558015395598
A190,0.004252273210752702
A193,0.007788365914356031
A196,0.012638820344155817
A203,0.02922909808608856
A204,0.22665929500345233
A207,0.0049672270582588746
A211,0.02299573937869743
A215,0.04515910205937624
A218,0.023180182036546218
A219,0.006203258669883729
A221,0.5434961119733883
A224,0.062552330149189
A225,0.009514405553678676
A234,0.017071432706501265
A242,0.006299231193707604
A243,0.005001263346588344
A245,0.011838814470585556
A246,0.005431912227595826
A248,0.6041241419055882
A254,0.047870313739756906
A258,0.6981807138938316
A262,0.05179224737735787
A266,0.005363066156253223
A270,0.04187725868510024
A272,0.013014459822191498
A283,0.008836644880450795
A284,0.09183742931753591
A286,0.10859291156985902
A287,0.002264928343792883
A288,0.018503907041803023
A292,0.013699080792607302
A296,0.012311484075298529
A297,0.010424228124473665
A299,0.005784556836056688
A303,0.033921327359321976
A305,0.00240466185882004
A309,0.003000591923569419
